document_name,threshold,num_chunks,chunk_index,num_tokens
lulzbot_taz_pro_user_manual.pdf,90,105,24,57
lulzbot_taz_pro_user_manual.pdf,90,105,25,9
lulzbot_taz_pro_user_manual.pdf,90,105,26,412
lulzbot_taz_pro_user_manual.pdf,90,105,27,236
lulzbot_taz_pro_user_manual.pdf,90,105,28,313
lulzbot_taz_pro_user_manual.pdf,90,105,29,190
lulzbot_taz_pro_user_manual.pdf,90,105,30,133
lulzbot_taz_pro_user_manual.pdf,90,105,31,249
lulzbot_taz_pro_user_manual.pdf,90,105,32,223
lulzbot_taz_pro_user_manual.pdf,90,105,33,266
lulzbot_taz_pro_user_manual.pdf,90,105,34,183
lulzbot_taz_pro_user_manual.pdf,90,105,35,127
lulzbot_taz_pro_user_manual.pdf,90,105,36,685
lulzbot_taz_pro_user_manual.pdf,90,105,37,265
lulzbot_taz_pro_user_manual.pdf,90,105,38,336
lulzbot_taz_pro_user_manual.pdf,90,105,39,288
lulzbot_taz_pro_user_manual.pdf,90,105,40,66
lulzbot_taz_pro_user_manual.pdf,90,105,41,162
lulzbot_taz_pro_user_manual.pdf,90,105,42,467
lulzbot_taz_pro_user_manual.pdf,90,105,43,181
lulzbot_taz_pro_user_manual.pdf,90,105,44,71
lulzbot_taz_pro_user_manual.pdf,90,105,45,410
lulzbot_taz_pro_user_manual.pdf,90,105,46,69
lulzbot_taz_pro_user_manual.pdf,90,105,47,1500
lulzbot_taz_pro_user_manual.pdf,90,105,48,256
lulzbot_taz_pro_user_manual.pdf,90,105,49,22
lulzbot_taz_pro_user_manual.pdf,90,105,50,119
lulzbot_taz_pro_user_manual.pdf,90,105,51,630
lulzbot_taz_pro_user_manual.pdf,90,105,52,885
lulzbot_taz_pro_user_manual.pdf,90,105,53,805
lulzbot_taz_pro_user_manual.pdf,90,105,54,194
lulzbot_taz_pro_user_manual.pdf,90,105,55,253
lulzbot_taz_pro_user_manual.pdf,90,105,56,737
lulzbot_taz_pro_user_manual.pdf,90,105,57,65
lulzbot_taz_pro_user_manual.pdf,90,105,58,40
lulzbot_taz_pro_user_manual.pdf,90,105,59,50
lulzbot_taz_pro_user_manual.pdf,90,105,60,382
lulzbot_taz_pro_user_manual.pdf,90,105,61,1185
lulzbot_taz_pro_user_manual.pdf,90,105,62,322
lulzbot_taz_pro_user_manual.pdf,90,105,63,547
lulzbot_taz_pro_user_manual.pdf,90,105,64,53
lulzbot_taz_pro_user_manual.pdf,90,105,65,74
lulzbot_taz_pro_user_manual.pdf,90,105,66,50
lulzbot_taz_pro_user_manual.pdf,90,105,67,176
lulzbot_taz_pro_user_manual.pdf,90,105,68,178
lulzbot_taz_pro_user_manual.pdf,90,105,69,142
lulzbot_taz_pro_user_manual.pdf,90,105,70,20
lulzbot_taz_pro_user_manual.pdf,90,105,71,68
lulzbot_taz_pro_user_manual.pdf,90,105,72,16
lulzbot_taz_pro_user_manual.pdf,90,105,73,64
lulzbot_taz_pro_user_manual.pdf,90,105,74,584
lulzbot_taz_pro_user_manual.pdf,90,105,75,53
lulzbot_taz_pro_user_manual.pdf,90,105,76,149
lulzbot_taz_pro_user_manual.pdf,90,105,77,318
lulzbot_taz_pro_user_manual.pdf,90,105,78,78
lulzbot_taz_pro_user_manual.pdf,90,105,79,54
lulzbot_taz_pro_user_manual.pdf,90,105,80,20
lulzbot_taz_pro_user_manual.pdf,90,105,81,60
lulzbot_taz_pro_user_manual.pdf,90,105,82,53
lulzbot_taz_pro_user_manual.pdf,90,105,83,268
